﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Change;Excluded;Name;Original;en;es-latam
;;;\etalk[1]I am talking;;
;;;\etalk[1]I am talking a lot right now oh yes i am talking;;
;;;\etalk[1]Do you agre;;
;;;New Game;New Game;Nuevo Juego
;;;Continue;Continue;Continuar
;;;Options;Options;Opciones
;;;Credits;Credits;Créditos
;;;Exit;Exit;Salir
;;;Yes;Yes;Sí
;;;No;No;No
;;;Language;Language;Idioma
;;;Always Dash;Always Dash;Correr Automático
;;;Reduced Cutscenes;Reduced Cutscenes;Cinemáticas Reducidas
;;;Low Performance;Low Performance;Bajo Rendimiento
;;;Background Music;Background Music;Música de Fondo
;;;Background Sounds;Background Sounds;Sonido de Fondo
;;;Sound Effects;Sound Effects;Efectos de Sonido
;;;Music Effects;Music Effects;Efectos de Música
;;;General;General;Preferencias
;;;Audio;Audio;Audio
;;;File;File;Archivo
;;;Which file would you like to load?;Which file would you like to load?;¿Qué partida desea cargar?
;;;Playtime:;Playtime:;Tiempo de Juego:
;;;OFF;OFF;Desactivado
;;;ON;ON;Activado
;;;Dutch;Dutch;Holandés
;;;Load File;Load File;Cargar Partida
;;;End Game;End Game;Salir
;;;To Title;To Title;Menú Principal
;;;Cancel;Cancel;Cancelar
;;;I should probably take my backpack with me.;I should probably take my backpack with me.;Creo que debería llevarme mi mochila.
;;;I should probably take the key with me.;I should probably take the key with me.;Creo que debería llevarme la llave.
;;;I should maybe take the ball of yarn with me.;I should maybe take the ball of yarn with me.;Creo que debería llevarme el ovillo de lana.
;;;I should maybe take the flag with me.;I should maybe take the flag with me.;Creo que debería llevarme la bandera.
;;;I should take the key with me.;I should take the key with me.;Debo llevarme la llave.
;;;I'm not feeling tired. \!Not that tired.;I'm not feeling tired. \!Not that tired.;No me siento cansado. \!No demasiado.
;;;I can't sleep now, I have to get ready for school.;I can't sleep now, I have to get ready for school.;"No puedo descansar ahora, tengo que alistarme
para la escuela."
;;;It used to be full of movies,\. but it's empty.;It used to be full of movies,\. but it's empty.;Solía estar lleno de películas,\. ahora está vacío.
;;;I guess the only thing that's still here is my lighter.;I guess the only thing that's still here is my lighter.;"Parece que lo único que quedó aquí
es mi encendedor."
;;;Grab it;Grab it;Agarrar
;;;Leave it;Leave it;Olvidar
;;;I'm already carrying something...;I'm already carrying something ...;Ya estoy llevando algo...
;;;An empty table.;An empty table.;Una mesa vacía.
;;;A living plant.;A living plant.;Una planta solitaria.
;;;I burned the plant.;I burned the plant.;Quemé la planta.
;;;Or I guess the lighter did.;Or I guess the lighter did.;De hecho, el encendedor lo hizo.
;;;The clock lost its arms.;The clock lost its arms.;Un reloj sin manecillas.
;;;I guess like I did mine.;I guess like I did mine.;¿Sentirá falta de ellas?
;;;It's my old backpack.;It's my old backpack.;Es mi antigua mochila.
;;;Take it;Take it;Agarrarla
;;;It's an old family photo.;It's an old family photo.;Una vieja foto familiar.
;;;There's an old key stuck in the frame.;There's an old key stuck in the frame.;Hay una llave atascada en el marco.
;;;It's a ball of yarn.;It's a ball of yarn.;Un ovillo de lana.
;;;It's a flag.;It's a flag.;Una bandera.
;;;It's a key.;It's a key.;Una llave.
;;;I think my lighter fell out of my pocket...;I think my lighter fell out of my pocket...;Creo que mi encendedor se cayó de mi bolsillo...
;;;You wait for the bus to arrive.;You wait for the bus to arrive.;Esperas a que llegue el autobús.
;;;This is bad.;This is bad.;Esto se ve mal.
;;;"Haven has been breaking my head for years now.\!
I was obsessed with her.";"Haven has been breaking my head for years now.\!
I was obsessed with her.";"He estado loco por Haven desde hace años.\!
Completamente hechizado."
;;;"I've tried multiple times to let go, but every
attempt has failed.";"I've tried multiple times to let go, but every
attempt has failed.";"He tratado de olvidarla de mil formas,
pero nada da resultado."
;;;She probably doesn't think about me anymore.;She probably doesn't think about me anymore.;Quizá ella ni se acuerde de mí.
;;;"And that's a good thing.\!
I don't want her to remember the party.";"And that's a good thing.\!
I don't want her to remember the party.";"Y eso es un alivio.\!
Odiaría que aún se acordase de aquella fiesta."
;;;"I've been forcing myself to think about our
memories together.";"I've been forcing myself to think about our
memories together.";"Me he estado obligado a recordar todos los
momentos que pasamos juntos."
;;;I wanted to feel the pain.;I wanted to feel the pain.;"Quería experimentar esa sensación agridulce
de dolor."
;;;But now I'm being confronted for it.;But now I'm being confronted for it.;Pero eso solo me ha traído problemas.
;;;I don't know if I'm ready for this.;I don't know if I'm ready for this.;No me siento preparado para enfrentarlos.
;;;I'm scared.;I'm scared.;Estoy asustado.
;;;"Haven's been an important part of me for a while.\!
I'm not sure if looking back at it will help me.";"Haven's been an important part of me for a while.\!
I'm not sure if looking back at it will help me.";"Haven ha sido muy importante para mí.\!
No estoy seguro de que esto sirva de algo."
;;;I wonder if she still thinks about me.;I wonder if she still thinks about me.;¿Será que ella aún piensa en mí?
;;;"The real her.\!
I know the Haven in this world isn't real.";"The real her.\!
I know the Haven in this world isn't real.";"Me refiero a la verdadera Haven.\!
Sé que la Haven de este mundo no es real."
;;;"But that doesn't stop me from wanting to see her
again.";"But that doesn't stop me from wanting to see her
again.";"De cualquier forma, estoy deseoso de volver
a verla."
;;;What if I don’t like what I remember?;What if I don’t like what I remember?;¿Y qué pasa si no me gusta lo que vea?
;;;"I've tried to push these memories away time and
time again.";"I've tried to push these memories away time and
time again.";"He tratado de apartar estos recuerdos de mí
tantas veces."
;;;I didn't want to think about her.;I didn't want to think about her.;Traté de no pensar más en ella.
;;;I wanted to, but I refused to let myself think.;I wanted to, but I refused to let myself think.;Aunque una parte de mí me lo quería hacerlo.
;;;John.;John.;John.
;;;I should probably chase that cat first ...;I should probably chase that cat first ...;Tal vez debería perseguir al gato primero.
;;;Bird;Bird;Pájaro
;;Bird;Coo?;Coo?;Cucú?
;;Bird;Coo coo;Coo coo;Cuuu cucú
;;;The bird looks at you.;The bird looks at you.;El pájaro te devuelve la mirada.
;;;Haven;Haven;Haven
;;Haven;Hi! It's been a while since I've seen you!;Hi! It's been a while since I've seen you!;¡Qué tal! Hace mucho que no te veo.
;;;Do you have any idea where we are?;Do you have any idea where we are?;¿Sabes dónde estamos?
;;;I'm not sure;I'm not sure;Creo que no
;;;Who are you?;Who are you?;¿Quién eres?
;;Haven;Gee ... you've already forgotten who I am?;Gee ... you've already forgotten who I am?;¿Ah...? ¿Ya te olvidaste de mí?
;;Haven;Haven! I'm Haven!;Haven! I'm Haven!;¡Vamos, soy Haven!
;;Haven;Hmmm ...\| This place sure is strange.;Hmmm ...\| This place sure is strange.;Ya veo...\| Este lugar sí que es extraño, ¿no crees?
;;Haven;"It could be worth exploring this area, maybe you
could find something?";"It could be worth exploring this area, maybe you
could find something?";"Tal vez podrías explorar un poco este lugar.
Quién sabe, quizá te traiga algún recuerdo."
;;Haven;"Hey, remember to take things slow ...\|
I know how you tend to freak out over everything!";"Hey, remember to take things slow ...\|
I know how you tend to freak out over everything!";"Trata de ir con calma, ¿sí?\|
Sé que tiendes a alterarte fácilmente."
;;Haven;"Try not to overthink, and just ...\|
Maybe \c[1]save\c[0] your thoughts, for now.";"Try not to overthink, and just ...\|
Maybe \c[1]save\c[0] your thoughts, for now.";"Y si tuvieras miedo de olvidar algún recuerdo,\|
tranquilo, yo lo puedo \c[1]guardar\c[0] por ti."
;;Haven;"Talk with me if you want to be safe again!
I'll always be here for you.";"Talk with me if you want to be safe again!
I'll always be here for you.";"Puedes venir y hablar conmigo cuando quieras.
Aquí estaré para ti."
;;Haven;Hey, you wanna \c[1]save \c[0]again?;Hey, you wanna \c[1]save \c[0]again?;¿Quieres que te \c[1]guarde\c[0] algún recuerdo?
;;;Sure;Sure;Okey
;;;Not now;Not now;No
;;Haven;I hope you feel safe again!;I hope you feel safe again!;¡Espero que te sientas mejor ahora!
;;Haven;That's fine, let me know if you change your mind!;That's fine, let me know if you change your mind!;Bueno, aquí estaré por si cambias de opinión.
;;Haven;Hi! How are you feeling?;Hi! How are you feeling?;Y... ¿cómo te sientes hoy?
;;;I'm okay;I'm okay;Estoy bien
;;;Not so well;Not so well;Algo mal
;;Haven;I'm glad, anything special planned?;I'm glad, anything special planned?;"Me alegra oir eso. ¿Y qué harás ahora?
¿Quizá algo divertido?"
;;Haven;"Sorry to hear that ...\.
Well, do you have anything fun planned?";"Sorry to hear that ...\.
Well, do you have anything fun planned?";"Oh, de verdad lo siento...\.
¿Y qué vas a hacer ahora? ¿Algún plan?"
;;;Going to school;Going to school;Ir a la escuela
;;;Nothing planned;Nothing planned;No
;;Haven;"Ah, that's fun!\|
Well, maybe not fun ...";"Ah, that's fun!\|
Well, maybe not fun ...";"Ah, eso suena divertido!\|
Bueno, *jeje* quizá no tanto..."
;;Haven;But we'll get to see all your friends again!;But we'll get to see all your friends again!;"¡Pero lo bueno es que veremos a todos tus amigos
de nuevo!"
;;Haven;Are you sure? We're going to school today!;Are you sure? We're going to school today!;¿Estás seguro? ¡Hoy iremos a la escuela!
;;Haven;That's pretty exciting, right?;That's pretty exciting, right?;Suena emocionante, ¿no crees?
;;Haven;Anyways, are you ready to \c[1]save \c[0]your thoughts?;Anyways, are you ready to \c[1]save \c[0]your thoughts?;"Bueno, ¿tienes algún recuerdo que quieras \c[1]guardar\c[0]?"
;;Haven;You can go ahead, I'll catch up to you!;You can go ahead, I'll catch up to you!;Puedes adelantarte si quieres. Te alcanzo después.
;;Haven;"Did that cat just take something from you?\!
You should probably chase it!";"Did that cat just take something from you?\!
You should probably chase it!";"Oye, ¿ese gato acaba de llevarse algo tuyo?\!
¡Tal vez deberías ir tras él!"
;;Haven;Do you wanna \c[1]save\c[0] before you go?;Do you wanna \c[1]save\c[0] before you go?;¿Quiere \c[1]guardar\c[0] algún recuerdo antes de irte?
;;Haven;Now go chase that cat!;Now go chase that cat!;¡Ahora corre, alcánzalo!
;;Haven;That's fine, go chase that cat!;That's fine, go chase that cat!;Está bien, ¡ahora ve tras él!
;;Haven;Hey, it's good to see you again.;Hey, it's good to see you again.;Hey, me alegra verte de nuevo.
;;Haven;"You're doing a great job with revisiting the past ...\!
But there's something you've been forgetting.";"You're doing a great job with revisiting the past ...\!
But there's something you've been forgetting.";"Has hecho un gran trabajo al revisitar el pasado...\!
Pero te has estado olvidado de algo."
;;Haven;"It’s maybe time to face something that’s been
bothering you for a while now.";"It’s maybe time to face something that’s been
bothering you for a while now.";"Tal vez sea tiempo de que le plantes cara a
una cosa que te ha estado afectando."
;;Haven;"The bus might arrive soon, so you should
get ready.";"The bus might arrive soon, so you should
get ready.";"El autobús debe llegar en cualquier momento,
asegúrate de estar listo."
;;Haven;Do you wanna \c[1]save \c[0]before you go?;Do you wanna \c[1]save \c[0]before you go?;¿Quieres \c[1]guardar\c[0] algún recuerdo antes de irte?
;;Haven;"You should head to the mountain, the bus will bring
you close.";"You should head to the mountain, the bus will bring
you close.";"Debes dirigirte a la montaña, el autobús te puede
dejar cerca."
;;Haven;Hey ...;Hey ...;Hey...
;;Haven;"Something’s wrong ...\!
Do you feel it too?";"Something’s wrong ...\!
Do you feel it too?";"Algo anda mal...\!
¿Tú también lo notaste?"
;;Haven;It feels strange ...;It feels strange ...;Se siente extraño...
;;Haven;There’s something you’ve been avoiding.;There’s something you’ve been avoiding.;Hay algo que has estado evitando.
;;Haven;The mountain’s waiting for you.;The mountain’s waiting for you.;La montaña está esperándote.
;;Haven;The bus should take you there.;The bus should take you there.;El autobús te va a llevar hasta allí.
;;Haven;...\. Please do the right thing.;...\. Please do the right thing.;...\. Por favor, haz lo que sea correcto.
;;Haven;I can see you've been through a lot ...;I can see you've been through a lot ...;Sé que has pasado por mucho...
;;Haven;But I don't think it's too late.;But I don't think it's too late.;Pero aún no es demasiado tarde.
;;Haven;You want to do the best you can, right?;You want to do the best you can, right?;Aún quieres dar lo mejor de ti, ¿verdad?
;;Haven;The bus will be here soon, you should get ready.;The bus will be here soon, you should get ready.;El autobús está a punto de llegar, alístate.
;;Haven;The mountain is waiting for you.;The mountain is waiting for you.;La montaña está esperándote.
;;Haven;"I know it's going to be hard, but I believe
in you.";"I know it's going to be hard, but I believe
in you.";"Sé que será demasiado difícil, pero creo
en ti."
;;Haven;Hey, you wanna \c[1]save\c[0]?;Hey, you wanna \c[1]save\c[0]?;¿Quieres \c[1]guardar\c[0] algún recuerdo?
;;Haven;Alright.;Alright.;¡Perfecto!
;;;Do I want to \c[1]save\c[0]?;Do I want to \c[1]save\c[0]?;¿Quiero \c[1]guardar\c[0]?
;;;It's a white sheet.;It's a white sheet.;Una manta blanca.
;;;The cat took your ball of yarn.;The cat took your ball of yarn.;El gato se llevó tu ovillo de lana.
;;;It's my car,\. but maybe I should talk to Haven first.;It's my car,\. but maybe I should talk to Haven first.;"Tal vez deba hablar con Haven antes de
entrar en mi carro."
;;;"It's my car.\.
Enter?";"It's my car.\.
Enter?";"Es mi carro.\.
¿Entrar?"
;;;It’s about time I went to visit my parents.;It’s about time I went to visit my parents.;Ya era tiempo de visitar a mis padres.
;;;"It’s something I’ve been ignoring for years.\!
I was glad to move out when I could.";"It’s something I’ve been ignoring for years.\!
I was glad to move out when I could.";"Hace años que no lo hacía.\!
Qué bueno que salí de allí cuando pude."
;;;"...\| But if I’m going to revisit everything, I might as
well get on with this.";"...\| But if I’m going to revisit everything, I might as
well get on with this.";"...\| Pero ya que estoy revisitando algunos recuerdos,
mejor no seguir posponiendo esto."
;;;Maybe I’ll find something.;Maybe I’ll find something.;Tal vez encuentre algo.
;;;...\| I haven’t thought about them in a while.;...\| I haven’t thought about them in a while.;...\| Hace mucho que no pienso en ellos.
;;;"My mom was always quiet.
\.She wouldn’t talk to me or my dad a lot.";"My mom was always quiet.
\.She wouldn’t talk to me or my dad a lot.";"Mi madre era una persona callada.\.
No hablaba mucho conmigo o con papá."
;;;"Sometimes, I would wonder if she had more to
her than what I saw.";"Sometimes, I would wonder if she had more to
her than what I saw.";"A veces me preguntaba si escondía algo detrás
de ese constante silencio."
;;;I never looked that deep into it though.;I never looked that deep into it though.;Aunque nunca le di mucho interés.
;;;My dad on the other hand ...;My dad on the other hand ...;Mi padre, por otro lado...
;;;...\. I don’t want to think about that right now.;...\. I don’t want to think about that right now.;Él...\. No, no vale la pena pensar en eso ahora.
;;;I’ll figure it out.;I’ll figure it out.;Quizá después.
;;Haven;Hi! I'm glad to see you again!;Hi! I'm glad to see you again!;¡Hey! ¡Me alegra mucho verte de nuevo! 
;;Haven;"I heard you were planning on revisiting your
childhood town, right?";"I heard you were planning on revisiting your
childhood town, right?";"Oí que vas a volver a visitar el lugar
donde creciste."
;;Haven;"I'd love to tag along, but I think it's best
to take this on yourself!";"I'd love to tag along, but I think it's best
to take this on yourself!";"Me encantaría acompañarte, pero creo que es
mejor que lo hagas solo."
;;Haven;"Don't worry though!\!
If you do end up feeling scared ...";"Don't worry though!\!
If you do end up feeling scared ...";"Pero no te preocupes,\!
si llegaras a sentirte inseguro o con miedo..."
;;Haven;"... I've put up a couple of flags!\.
I hope they will help you feel safe.";"... I've put up a couple of flags!\.
I hope they will help you feel safe.";"Coloqué algunas banderitas en el camino.\.
Espero que te ayuden a sentirte seguro."
;;Haven;Anyways, do you wanna \c[1]save \c[0]before you go?;Anyways, do you wanna \c[1]save \c[0]before you go?;"Eso es todo, ¿quieres \c[1]guardar\c[0] algún
recuerdo antes de partir?"
;;Haven;Good luck!;Good luck!;¡Qué te vaya bien!
