ENGLISH,YOUR LANGUAGE
Content Warning ,
This game contains themes and imagery that may be distressing to some players. ,
"It includes depictions of drug use, tobacco use, trauma, abuse, suicide, anxiety, gore, loss of close ones, difficult parental relationships, and attachment to past relationships. ",
There are also bright flashing lights/colors that may affect players with photosensitive epilepsy. ,
Player discretion is advised. ,
"For the best experience, it is recommended to play the game in windowed mode. ",
,
INTERACT,
,
Day 1,
Day 2,
Day 3,
Day 4,
Day 5,
Day 6,
Day 7,
,
7 DAYS,
6 DAYS,
5 DAYS,
4 DAYS,
3 DAYS,
2 DAYS,
1 DAY,
THE END,
IS THIS IT?,
WAS THIS WORTH IT?,
,
DON�T GO THERE.,
YOU�RE NOT READY.,
THIS IS MY SANCTUARY.,
,
I was here!,
Stinky,
,
COURTYARD,
JANITOR�S CLOSET,
MUSIC,
LIBRARY,
GYM,
TEACHERS LOUNGE,
,
"Life

In a week, memories unfold
A story of moments told
I enter, dragging my baggage
And leave, turning it into gold",
"Young days

Endless days turn into weeks
Turn into months turn into years
At the end, everyone found their place
But for me, those years have been a waste",
"The Old House

A forgotten key, unlocks the door
To something forgotten, left to rot
Hidden memories, there must be more
They might miss me, but probably not.l",
"Old friend

Since the day you left home
I haven't forgotten your touch
Since then I've been alone
You made me miss you so much",
"Climbing Her Mountain

You still haunt me everyday
We had out time, and that's okay
But, you still frustrate my mind
I guess I started off too blind",
"Isolation

Follow me around, from day to night
My secret home, away from all light
Tell me lies, from the darkest place
Now leave my body and reveal my face",
"Acceptance

You've seen it all, come to your
senses
Moving on, releasing you defenses
In the silence, a hidden door
creaks
You open the door
open the door
Open the door
OPEN THE DOOR
OPEN THE DOOR
OPEN THE DOOR",
,
i know these memories aren�t what they once were,
but they make the past look brighter,
they remind me of better times,
even though i realize,
they weren�t actually great,
,
IT WAS ALL YOUR FAULT,
YOU DID THIS,
,
CAT CITY,
Cat Cafe,
BAKERY,
,
"Fill kettle with water

return kettle

pour boiling water in cup

steep catnip leaves",
"Mash tuna in bowl

add breadcrumbs, eggs and
catnip
Fry in pan",
"Mix milk, cheese and
catnip
bake in oven

Hope for the best",
,
TUNA,
,
START,
I WANT 15 FISH!,
,
"One time when I wanted to go to the park again,","Un día, me entraron ganas de ir al parque."
I had the idea of bringing Selene with me.,Y quise llevar a Selene conmigo.
I wanted to prove to my mom that nothing would go wrong if she went outside.,Quería probarle a mamá que nada malo pasaría si la llevaba.
"I openened the door, and as I had expected, she didn�t run off.","Al llevarla afuera no se puso nerviosa ni nada parecido."
She wasn�t that kind of cat after all.,"No era ese tipo de gato inquieto."
"She was sniffing the grass, and getting familiar with the outside world.","Comenzó a oler el pasto y a explorar ese nuevo mundo."
...Until she ran away.,Y de la nada... echó a correr.
I ran as fast as I could to catch her.,Traté de alcanzarla.
She kept running�,Pero ella no se detenía.
It was all my fault.,Fue mi culpa.
I killed my only friend,Mi mejor amiga perdió la vida por culpa mía.
All this guilt has been building up inside,Este sentimiento de culpa aún me persigue.
She didn�t deserve this unfair life,Fue tan injusto lo que le pasó.
,
"SORRY, I�M UNSTABLE","LO SIENTO, SOY ALGO INESTABLE"
we�ll figure it out.,lo resolveremos.
EVERYTHING WILL GO WRONG,VA A SALIR MAL
"Yeah, I�d love to","Claro, cuenta conmigo"
THIS WON�T LAST LONG,NO DURARÁ
I like her,Me gusta ella
HOW LONG DO WE HAVE?,¿CUÁNTO TIEMPO QUEDA?
I love her,La amo
I CAN�T DO THIS,NO PUEDO HACERLO
,
Haven � Hi!�,
,
Juice (applejuice),
,
"When I close my eyes I feel myself spinning,",
Like one of those spinning teacup rides.,
The space is taking me somewhere else.,
Is it my fault I'm like this?,
Was I destined to live the way that I did?,
I've always felt this emptiness,
I know there's more. I've felt it before.,
But I dont have anyone to help me.,
I wouldn't mind if it ended here.,
I don't care about the past anymore�,
Or what the future could be.,
I've forgotten what day it is.,
They've started blending together.,
Not like that matters right now.,
What's the point in trying?,
ALl of this is for nothing anyway.,
We're all going to have an end.,
"From the start, my life has been unfair.",
I didn't get any chances.,
Whose fault is it?,
There is no one to help me.,
This is my end.,
I'm going to the forest tonight.,
I've tried to end it before.,
When I was 14,
I can't believe I failed myself.,
I'm sorry.,
,
COOL CARDS,
DUMB,
STUPID,
ALONE,
SHADOW,
DIE,
