;;;"I probably shouldn't go now.\!That's for another day.";"I probably shouldn't go now.\!
REVISAR LA PALABRA MOMENTS Y REVISITAR
es problable q pusiera ;
ese alright de haven ;;Haven;Alright.;Alright.;Perfecto.

;;Mushroom;\etalk[79]Yeah! Yeah!;\etalk[79]Yeah! Yeah!;\etalk[79]Yiiipi! Yipi! Yupiii! q reciba el HONGO BAILARIN NO CENTRO
;;;I don't feel like eating.;I don't feel like eating.;No tengo ganas de desayunar. PQ HABIAL ECHE
I sat there alone on the stool, with a drink in hand.;"Ahí estaba yo, en un rincón,//// PQ EN LA IMAGEN N  ESTA SENTADO
;;;I wanted to live again.;I wanted to live again.;Sentí como volvían las ganas de vivir.
;;;I want him to change.;I want him to change.; Q SEAN SEGUIDOS ASEGURARSE

;;;No\. more\. pretending.;No\. more\. pretending. does he say it to Haven
happy holidays 
