﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Change;Excluded;Name;Original;en;es-latam
;;;\etalk[1]I am talking;;
;;;\etalk[1]I am talking a lot right now oh yes i am talking;;
;;;\etalk[1]Do you agre;;
;;;New Game;New Game;Nuevo Juego
;;;Continue;Continue;Continuar
;;;Options;Options;Opciones
;;;Credits;Credits;Créditos
;;;Exit;Exit;Salir
;;;Yes;Yes;Sí
;;;No;No;No
;;;Language;Language;Idioma
;;;Always Dash;Always Dash;Correr Automático
;;;Reduced Cutscenes;Reduced Cutscenes;Cinemáticas Reducidas
;;;Low Performance;Low Performance;Bajo Rendimiento
;;;Background Music;Background Music;Música de Fondo
;;;Background Sounds;Background Sounds;Sonido de Fondo
;;;Sound Effects;Sound Effects;Efectos de Sonido
;;;Music Effects;Music Effects;Efectos de Música
;;;General;General;Preferencias
;;;Audio;Audio;Audio
;;;File;File;Archivo
;;;Which file would you like to load?;Which file would you like to load?;¿Qué partida desea cargar?
;;;Playtime:;Playtime:;Tiempo de Juego:
;;;OFF;OFF;Desactivado
;;;ON;ON;Activado
;;;Dutch;Dutch;Holandés
;;;Load File;Load File;Cargar Partida
;;;End Game;End Game;Salir
;;;To Title;To Title;Menú Principal
;;;Cancel;Cancel;Cancelar
;;;I should probably take my backpack with me.;I should probably take my backpack with me.;Creo que debería llevarme mi mochila.
;;;I should probably take the key with me.;I should probably take the key with me.;Creo que debería llevarme la llave.
;;;I should maybe take the ball of yarn with me.;I should maybe take the ball of yarn with me.;Creo que debería llevarme el ovillo de lana.
;;;I should maybe take the flag with me.;I should maybe take the flag with me.;Creo que debería llevarme la bandera.
;;;I should take the key with me.;I should take the key with me.;Debo llevarme la llave.
;;;I'm not feeling tired. \!Not that tired.;I'm not feeling tired. \!Not that tired.;No me siento cansado. \!No demasiado.
;;;I can't sleep now, I have to get ready for school.;I can't sleep now, I have to get ready for school.;"No puedo descansar ahora, tengo que alistarme
para la escuela."
;;;It used to be full of movies,\. but it's empty.;It used to be full of movies,\. but it's empty.;Solía estar lleno de películas,\. ahora está vacío.
;;;I guess the only thing that's still here is my lighter.;I guess the only thing that's still here is my lighter.;La única cosa que continua aquí es mi encendedor.
;;;Grab it;Grab it;Agarrarlo
;;;Leave it;Leave it;Dejarlo
;;;I'm already carrying something...;I'm already carrying something ...;Ya estoy llevando algo...
;;;An empty table.;An empty table.;Una mesa vacía.
;;;A living plant.;A living plant.;Una planta solitaria.
;;;I burned the plant.;I burned the plant.;Quemé la planta.
;;;Or I guess the lighter did.;Or I guess the lighter did.;De hecho, el encendedor lo hizo.
;;;The clock lost its arms.;The clock lost its arms.;Un reloj sin manecillas.
;;;I guess like I did mine.;I guess like I did mine.;¿Sentirá falta de ellas?
;;;It's my old backpack.;It's my old backpack.;Mi antigua mochila.
;;;Take it;Take it;Agarrarla
;;;It's an old family photo.;It's an old family photo.;Una vieja foto familiar.
;;;There's an old key stuck in the frame.;There's an old key stuck in the frame.;Hay una llave atascada en el marco.
;;;It's a ball of yarn.;It's a ball of yarn.;Un ovillo de lana.
;;;It's a flag.;It's a flag.;Una bandera.
;;;It's a key.;It's a key.;Una llave.
;;;I think my lighter fell out of my pocket...;I think my lighter fell out of my pocket...;Creo que mi encendedor se cayó de mi bolsillo...
;;;You wait for the bus to arrive.;You wait for the bus to arrive.;Estas esperando a que llegue el bus.
;;;This is bad.;This is bad.;Esto se ve mal.
;;;"Haven has been breaking my head for years now.\!
I was obsessed with her.";"Haven has been breaking my head for years now.\!
I was obsessed with her.";
;;;"I've tried multiple times to let go, but every
attempt has failed.";"I've tried multiple times to let go, but every
attempt has failed.";
;;;She probably doesn't think about me anymore.;She probably doesn't think about me anymore.;
;;;"And that's a good thing.\!
I don't want her to remember the party.";"And that's a good thing.\!
I don't want her to remember the party.";
;;;"I've been forcing myself to think about our
memories together.";"I've been forcing myself to think about our
memories together.";
;;;I wanted to feel the pain.;I wanted to feel the pain.;
;;;But now I'm being confronted for it.;But now I'm being confronted for it.;
;;;I don't know if I'm ready for this.;I don't know if I'm ready for this.;
;;;I'm scared.;I'm scared.;
;;;"Haven's been an important part of me for a while.\!
I'm not sure if looking back at it will help me.";"Haven's been an important part of me for a while.\!
I'm not sure if looking back at it will help me.";
;;;I wonder if she still thinks about me.;I wonder if she still thinks about me.;
;;;"The real her.\!
I know the Haven in this world isn't real.";"The real her.\!
I know the Haven in this world isn't real.";
;;;"But that doesn't stop me from wanting to see her
again.";"But that doesn't stop me from wanting to see her
again.";
;;;What if I don’t like what I remember?;What if I don’t like what I remember?;
;;;"I've tried to push these memories away time and
time again.";"I've tried to push these memories away time and
time again.";
;;;I didn't want to think about her.;I didn't want to think about her.;
;;;I wanted to, but I refused to let myself think.;I wanted to, but I refused to let myself think.;
;;;John.;John.;
;;;I should probably chase that cat first ...;I should probably chase that cat first ...;
;;;Bird;Bird;
;;Bird;Coo?;Coo?;
;;Bird;Coo coo;Coo coo;
;;;The bird looks at you.;The bird looks at you.;
;;;Haven;Haven;
;;Haven;Hi! It's been a while since I've seen you!;Hi! It's been a while since I've seen you!;
;;;Do you have any idea where we are?;Do you have any idea where we are?;
;;;I'm not sure;I'm not sure;
;;;Who are you?;Who are you?;
;;Haven;Gee ... you've already forgotten who I am?;Gee ... you've already forgotten who I am?;
;;Haven;Haven! I'm Haven!;Haven! I'm Haven!;
;;Haven;Hmmm ...\| This place sure is strange.;Hmmm ...\| This place sure is strange.;
;;Haven;"It could be worth exploring this area, maybe you
could find something?";"It could be worth exploring this area, maybe you
could find something?";
;;Haven;"Hey, remember to take things slow ...\|
I know how you tend to freak out over everything!";"Hey, remember to take things slow ...\|
I know how you tend to freak out over everything!";
;;Haven;"Try not to overthink, and just ...\|
Maybe \c[1]save\c[0] your thoughts, for now.";"Try not to overthink, and just ...\|
Maybe \c[1]save\c[0] your thoughts, for now.";
;;Haven;"Talk with me if you want to be safe again!
I'll always be here for you.";"Talk with me if you want to be safe again!
I'll always be here for you.";
;;Haven;Hey, you wanna \c[1]save \c[0]again?;Hey, you wanna \c[1]save \c[0]again?;
;;;Sure;Sure;
;;;Not now;Not now;
;;Haven;I hope you feel safe again!;I hope you feel safe again!;
;;Haven;That's fine, let me know if you change your mind!;That's fine, let me know if you change your mind!;
;;Haven;Hi! How are you feeling?;Hi! How are you feeling?;
;;;I'm okay;I'm okay;
;;;Not so well;Not so well;
;;Haven;I'm glad, anything special planned?;I'm glad, anything special planned?;
;;Haven;"Sorry to hear that ...\.
Well, do you have anything fun planned?";"Sorry to hear that ...\.
Well, do you have anything fun planned?";
;;;Going to school;Going to school;
;;;Nothing planned;Nothing planned;
;;Haven;"Ah, that's fun!\|
Well, maybe not fun ...";"Ah, that's fun!\|
Well, maybe not fun ...";
;;Haven;But we'll get to see all your friends again!;But we'll get to see all your friends again!;
;;Haven;Are you sure? We're going to school today!;Are you sure? We're going to school today!;
;;Haven;That's pretty exciting, right?;That's pretty exciting, right?;
;;Haven;Anyways, are you ready to \c[1]save \c[0]your thoughts?;Anyways, are you ready to \c[1]save \c[0]your thoughts?;
;;Haven;You can go ahead, I'll catch up to you!;You can go ahead, I'll catch up to you!;
;;Haven;"Did that cat just take something from you?\!
You should probably chase it!";"Did that cat just take something from you?\!
You should probably chase it!";
;;Haven;Do you wanna \c[1]save\c[0] before you go?;Do you wanna \c[1]save\c[0] before you go?;
;;Haven;Now go chase that cat!;Now go chase that cat!;
;;Haven;That's fine, go chase that cat!;That's fine, go chase that cat!;
;;Haven;Hey, it's good to see you again.;Hey, it's good to see you again.;
;;Haven;"You're doing a great job with revisiting the past ...\!
But there's something you've been forgetting.";"You're doing a great job with revisiting the past ...\!
But there's something you've been forgetting.";
;;Haven;"It’s maybe time to face something that’s been
bothering you for a while now.";"It’s maybe time to face something that’s been
bothering you for a while now.";
;;Haven;"The bus might arrive soon, so you should
get ready.";"The bus might arrive soon, so you should
get ready.";
;;Haven;Do you wanna \c[1]save \c[0]before you go?;Do you wanna \c[1]save \c[0]before you go?;
;;Haven;"You should head to the mountain, the bus will bring
you close.";"You should head to the mountain, the bus will bring
you close.";
;;Haven;Hey ...;Hey ...;
;;Haven;"Something’s wrong ...\!
Do you feel it too?";"Something’s wrong ...\!
Do you feel it too?";
;;Haven;It feels strange ...;It feels strange ...;
;;Haven;There’s something you’ve been avoiding.;There’s something you’ve been avoiding.;
;;Haven;The mountain’s waiting for you.;The mountain’s waiting for you.;
;;Haven;The bus should take you there.;The bus should take you there.;
;;Haven;...\. Please do the right thing.;...\. Please do the right thing.;
;;Haven;I can see you've been through a lot ...;I can see you've been through a lot ...;
;;Haven;But I don't think it's too late.;But I don't think it's too late.;
;;Haven;You want to do the best you can, right?;You want to do the best you can, right?;
;;Haven;The bus will be here soon, you should get ready.;The bus will be here soon, you should get ready.;
;;Haven;The mountain is waiting for you.;The mountain is waiting for you.;
;;Haven;"I know it's going to be hard, but I believe
in you.";"I know it's going to be hard, but I believe
in you.";
;;Haven;Hey, you wanna \c[1]save\c[0]?;Hey, you wanna \c[1]save\c[0]?;
;;Haven;Alright.;Alright.;
;;;Do I want to \c[1]save\c[0]?;Do I want to \c[1]save\c[0]?;
;;;It's a white sheet.;It's a white sheet.;
;;;The cat took your ball of yarn.;The cat took your ball of yarn.;
;;;It's my car,\. but maybe I should talk to Haven first.;It's my car,\. but maybe I should talk to Haven first.;
;;;"It's my car.\.
Enter?";"It's my car.\.
Enter?";
;;;It’s about time I went to visit my parents.;It’s about time I went to visit my parents.;
;;;"It’s something I’ve been ignoring for years.\!
I was glad to move out when I could.";"It’s something I’ve been ignoring for years.\!
I was glad to move out when I could.";
;;;"...\| But if I’m going to revisit everything, I might as
well get on with this.";"...\| But if I’m going to revisit everything, I might as
well get on with this.";
;;;Maybe I’ll find something.;Maybe I’ll find something.;
;;;...\| I haven’t thought about them in a while.;...\| I haven’t thought about them in a while.;
;;;"My mom was always quiet.
\.She wouldn’t talk to me or my dad a lot.";"My mom was always quiet.
\.She wouldn’t talk to me or my dad a lot.";
;;;"Sometimes, I would wonder if she had more to
her than what I saw.";"Sometimes, I would wonder if she had more to
her than what I saw.";
;;;I never looked that deep into it though.;I never looked that deep into it though.;
;;;My dad on the other hand ...;My dad on the other hand ...;
;;;...\. I don’t want to think about that right now.;...\. I don’t want to think about that right now.;
;;;I’ll figure it out.;I’ll figure it out.;
;;Haven;Hi! I'm glad to see you again!;Hi! I'm glad to see you again!;
;;Haven;"I heard you were planning on revisiting your
childhood town, right?";"I heard you were planning on revisiting your
childhood town, right?";
;;Haven;"I'd love to tag along, but I think it's best
to take this on yourself!";"I'd love to tag along, but I think it's best
to take this on yourself!";
;;Haven;"Don't worry though!\!
If you do end up feeling scared ...";"Don't worry though!\!
If you do end up feeling scared ...";
;;Haven;"... I've put up a couple of flags!\.
I hope they will help you feel safe.";"... I've put up a couple of flags!\.
I hope they will help you feel safe.";
;;Haven;Anyways, do you wanna \c[1]save \c[0]before you go?;Anyways, do you wanna \c[1]save \c[0]before you go?;
;;Haven;Good luck!;Good luck!;
;;Haven;Alright, don't forget the flags!;Alright, don't forget the flags!;
;;;Thank you.;Thank you.;
;;;Mushroom;Mushroom;
;;Mushroom;\etalk[44]Yeah! Yeah!;\etalk[44]Yeah! Yeah!;
;;;You found an old picture.;You found an old picture.;
;;;I found a lot of peace in the park.;I found a lot of peace in the park.;
;;;"As a child, I'd explore the different paths
and find relaxing spots.";"As a child, I'd explore the different paths
and find relaxing spots.";
;;;It felt exciting, yet it felt right.;It felt exciting, yet it felt right.;
;;;"I used to imagine there were shadows watching
over me.";"I used to imagine there were shadows watching
over me.";
;;;"Sometimes, they'd play with me.\!
But most of the time, I was on my own.";"Sometimes, they'd play with me.\!
But most of the time, I was on my own.";
;;;"I don't remember where they went, as I grew
older I stopped thinking about them.";"I don't remember where they went, as I grew
older I stopped thinking about them.";
;;Mushroom;\etalk[79]Yeah! Yeah!;\etalk[79]Yeah! Yeah!;
;;Mushroom;Yeah! Yeah!;Yeah! Yeah!;
;;Mushroom;Yeah, yeah.;Yeah, yeah.;
;;;Flower Child;Flower Child;
;;Flower Child;"I've been taking care of these little guys for
a while.";"I've been taking care of these little guys for
a while.";
;;Flower Child;We're all best friends and spend the day together.;We're all best friends and spend the day together.;
;;Flower Child;"The mushrooms are still sleeping, so I've decided
to take a breath of fresh air.";"The mushrooms are still sleeping, so I've decided
to take a breath of fresh air.";
;;Flower Child;"It can really be refreshing to breathe in deeply,
and feel the wind through your face.";"It can really be refreshing to breathe in deeply,
and feel the wind through your face.";
;;Flower Child;"Did you know these little guys aren't actually
mushrooms?";"Did you know these little guys aren't actually
mushrooms?";
;;Flower Child;"They're weird creatures.\!
They capture the pure joy of a child.";"They're weird creatures.\!
They capture the pure joy of a child.";
;;Flower Child;"I haven't seen many cats around these fields
before...";"I haven't seen many cats around these fields
before ...";
;;Flower Child;"The mountain? It's a pretty long journey to get
to the top.";"The mountain? It's a pretty long journey to get
to the top.";
;;Flower Child;I've heard only a couple people have made it.;I've heard only a couple people have made it.;
;;Flower Child;"It's not dangerous or anything, only a few
have attempted the journey.";"It's not dangerous or anything, only a few
have attempted the journey.";
;;Flower Child;"There's something beautiful about how people
change.";"There's something beautiful about how people
change.";
;;Flower Child;I haven't always been the same person.;I haven't always been the same person.;
;;Flower Child;"It's strange how people can be so different over
time.";"It's strange how people can be so different over
time.";
;;Mushroom;\etalk[83]Yeah! Yeah!;\etalk[83]Yeah! Yeah!;
;;;The bird is looking at the worm.;The bird is looking at the worm.;
;;;Worm;Worm;
;;Worm;hellooooo ...;hellooooo ...;
;;Worm;hiiiiii ...;hiiiiii ...;
;;Worm;how are you ...;how are you ...;
;;;...;...;
;;;Oakley;Oakley;
;;Oakley;Hello, sir.;Hello, sir.;
;;Oakley;"I'm afraid I haven't seen you in this town before.
Could I help you with something, sir?";"I'm afraid I haven't seen you in this town before.
Could I help you with something, sir?";
;;;Where am I?;Where am I?;
;;;How do I leave?;How do I leave?;
;;;(Leave);(Leave);
;;Oakley;...\| You are right here.;...\| You are right here.;
;;Oakley;"There's no need to put labels to locations, sir.\.
We are all just here.";"There's no need to put labels to locations, sir.\.
We are all just here.";
;;Oakley;Sometimes, it's better to simply ... be.;Sometimes, it's better to simply ... be.;
;;Oakley;Ah, I'm just a humble fellow, sir.;Ah, I'm just a humble fellow, sir.;
;;Oakley;"I've been here for a very long time, sir.
Longer than I care to admit, perhaps.";"I've been here for a very long time, sir.
Longer than I care to admit, perhaps.";
;;Oakley;"Leave where, sir?
This is all there is.";"Leave where, sir?
This is all there is.";
;;Oakley;"There is nowhere to go, and I don't mean that in
a bad way, sir.";"There is nowhere to go, and I don't mean that in
a bad way, sir.";
;;;This is it.;This is it.;
;;Oakley;"Hello, sir.
Could I help you?";"Hello, sir.
Could I help you?";
;;Oakley;"You have woken up early this morning.
I wonder what you must be attending to?";"You have woken up early this morning.
I wonder what you must be attending to?";
;;;Where do I go?;Where do I go?;
;;;Who is Haven?;Who is Haven?;
;;;I need to get out of here;I need to get out of here;
;;Oakley;"Judging by your backpack, I assume you're
trying to get to school.";"Judging by your backpack, I assume you're
trying to get to school.";
;;Oakley;"The only way I know is to take the bus.\!
It's near the big house, sir.";"The only way I know is to take the bus.\!
It's near the big house, sir.";
